Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
Patrol 6,16/1/27,13:30,16/1/27,18:00,FALSE,Patrol 6
Patrol 6,20/2/27,08:45,20/2/27,13:00,FALSE,Patrol 6
Patrol 6,29/3/27,13:00,29/3/27,17:00,FALSE,Patrol 6
Patrol 7,17/10/26,12:30,17/10/26,16:00,FALSE,Patrol 7
Patrol 7,19/12/26,13:30,19/12/26,18:00,FALSE,Patrol 7
Patrol 7,10/1/27,13:30,10/1/27,18:00,FALSE,Patrol 7
Patrol 7,21/2/27,08:45,21/2/27,13:00,FALSE,Patrol 7
Patrol 7,4/4/27,12:30,4/4/27,16:00,FALSE,Patrol 7
Patrol 8,18/10/26,12:30,18/10/26,16:00,FALSE,Patrol 8
Patrol 8,5/12/26,08:45,5/12/26,13:00,FALSE,Patrol 8
Patrol 8,9/1/27,13:30,9/1/27,18:00,FALSE,Patrol 8
Patrol 8,27/2/27,08:45,27/2/27,13:00,FALSE,Patrol 8
Patrol 8,10/4/27,12:30,10/4/27,16:00,FALSE,Patrol 8
Patrol 9,24/10/26,12:30,24/10/26,16:00,FALSE,Patrol 9
Patrol 9,6/12/26,08:45,6/12/26,13:00,FALSE,Patrol 9
Patrol 9,24/1/27,13:30,24/1/27,18:00,FALSE,Patrol 9
Patrol 9,28/2/27,08:45,28/2/27,13:00,FALSE,Patrol 9
Patrol 9,11/4/27,12:30,11/4/27,16:00,FALSE,Patrol 9
Patrol 10,25/10/26,12:30,25/10/26,16:00,FALSE,Patrol 10
Patrol 10,12/12/26,08:45,12/12/26,13:30,FALSE,Patrol 10
Patrol 10,23/1/27,13:30,23/1/27,18:00,FALSE,Patrol 10
Patrol 10,6/3/27,08:45,6/3/27,13:00,FALSE,Patrol 10
Patrol 10,17/4/27,12:30,17/4/27,16:00,FALSE,Patrol 10
Patrol 11,31/10/26,13:00,31/10/26,17:00,FALSE,Patrol 11
Patrol 11,19/12/26,08:45,19/12/26,13:30,FALSE,Patrol 11
Patrol 11,17/1/27,13:30,17/1/27,18:00,FALSE,Patrol 11
Patrol 11,7/3/27,08:45,7/3/27,13:00,FALSE,Patrol 11
Patrol 11,24/4/27,12:30,24/4/27,16:00,FALSE,Patrol 11
Patrol 12,7/11/26,13:00,7/11/26,17:00,FALSE,Patrol 12
Patrol 12,13/12/26,08:45,13/12/26,13:30,FALSE,Patrol 12
Patrol 12,30/1/27,13:30,30/1/27,18:00,FALSE,Patrol 12
Patrol 12,20/3/27,08:45,20/3/27,13:00,FALSE,Patrol 12
Patrol 12,18/4/27,12:30,18/4/27,16:00,FALSE,Patrol 12
Patrol 13,26/9/26,12:30,26/9/26,16:00,FALSE,Patrol 13
Patrol 13,1/11/26,13:00,1/11/26,17:00,FALSE,Patrol 13
Patrol 13,20/12/26,08:45,20/12/26,13:30,FALSE,Patrol 13
Patrol 13,26/1/27,13:30,26/1/27,18:00,FALSE,Patrol 13
Patrol 13,14/3/27,08:45,14/3/27,13:00,FALSE,Patrol 13
Patrol 13,25/4/27,12:30,25/4/27,16:00,FALSE,Patrol 13
Patrol A,27/9/26,08:45,27/9/26,12:30,FALSE,Patrol A
Patrol A,8/11/26,13:00,8/11/26,17:00,FALSE,Patrol A
Patrol A,26/12/26,08:45,26/12/26,13:30,FALSE,Patrol A
Patrol A,31/1/27,13:30,31/1/27,18:00,FALSE,Patrol A
Patrol A,21/3/27,08:45,21/3/27,13:00,FALSE,Patrol A
Patrol B,3/10/26,08:45,3/10/26,12:30,FALSE,Patrol B
Patrol B,14/11/26,13:00,14/11/26,17:00,FALSE,Patrol B
Patrol B,27/12/26,08:45,27/12/26,13:30,FALSE,Patrol B
Patrol B,6/2/27,13:00,6/2/27,17:00,FALSE,Patrol B
Patrol B,26/3/27,08:45,26/3/27,13:00,FALSE,Patrol B
Patrol C,4/10/26,08:45,4/10/26,12:30,FALSE,Patrol C
Patrol C,15/11/26,13:00,15/11/26,17:00,FALSE,Patrol C
Patrol C,1/1/27,08:45,1/1/27,13:30,FALSE,Patrol C
Patrol C,7/2/27,13:00,7/2/27,17:00,FALSE,Patrol C
Patrol C,27/3/27,08:45,27/3/27,13:00,FALSE,Patrol C
Patrol D,5/10/26,08:45,5/10/26,12:30,FALSE,Patrol D
Patrol D,21/11/26,13:00,21/11/26,17:00,FALSE,Patrol D
Patrol D,2/1/27,08:45,2/1/27,13:30,FALSE,Patrol D
Patrol D,13/2/27,13:00,13/2/27,17:00,FALSE,Patrol D
Patrol D,28/3/27,08:45,28/3/27,13:00,FALSE,Patrol D
Patrol E,10/10/26,08:45,10/10/26,12:30,FALSE,Patrol E
Patrol E,22/11/26,13:00,22/11/26,17:00,FALSE,Patrol E
Patrol E,3/1/27,08:45,3/1/27,13:30,FALSE,Patrol E
Patrol E,14/2/27,13:00,14/2/27,17:00,FALSE,Patrol E
Patrol E,29/3/27,08:45,29/3/27,13:00,FALSE,Patrol E
Patrol F,11/10/26,08:45,11/10/26,12:30,FALSE,Patrol F
Patrol F,28/11/26,13:00,28/11/26,17:00,FALSE,Patrol F
Patrol F,9/1/27,08:45,9/1/27,13:30,FALSE,Patrol F
Patrol F,20/2/27,13:00,20/2/27,17:00,FALSE,Patrol F
Patrol F,3/4/27,08:45,3/4/27,12:30,FALSE,Patrol F
Patrol G,17/10/26,08:45,17/10/26,12:30,FALSE,Patrol G
Patrol G,29/11/26,13:00,29/11/26,17:00,FALSE,Patrol G
Patrol G,10/1/27,08:45,10/1/27,13:30,FALSE,Patrol G
Patrol G,21/2/27,13:00,21/2/27,17:00,FALSE,Patrol G
Patrol G,4/4/27,08:45,4/4/27,12:30,FALSE,Patrol G
Patrol H,18/10/26,08:45,18/10/26,12:30,FALSE,Patrol H
Patrol H,5/12/26,13:00,5/12/26,17:00,FALSE,Patrol H
Patrol H,16/1/27,08:45,16/1/27,13:30,FALSE,Patrol H
Patrol H,27/2/27,13:00,27/2/27,17:00,FALSE,Patrol H
Patrol H,10/4/27,08:45,10/4/27,12:30,FALSE,Patrol H
Patrol J,24/10/26,08:45,24/10/26,12:30,FALSE,Patrol J
Patrol J,6/12/26,13:00,6/12/26,17:00,FALSE,Patrol J
Patrol J,17/1/27,08:45,17/1/27,13:30,FALSE,Patrol J
Patrol J,28/2/27,13:00,28/2/27,17:00,FALSE,Patrol J
Patrol J,11/4/27,08:45,11/4/27,12:30,FALSE,Patrol J
Patrol K,25/10/26,08:45,25/10/26,12:30,FALSE,Patrol K
Patrol K,12/12/26,13:30,12/12/26,18:00,FALSE,Patrol K
Patrol K,23/1/27,08:45,23/1/27,13:30,FALSE,Patrol K
Patrol K,6/3/27,13:00,6/3/27,17:00,FALSE,Patrol K
Patrol K,17/4/27,08:45,17/4/27,12:30,FALSE,Patrol K
Patrol L,31/10/26,08:45,31/10/26,13:00,FALSE,Patrol L
Patrol L,13/12/26,13:30,13/12/26,18:00,FALSE,Patrol L
Patrol L,24/1/27,08:45,24/1/27,13:30,FALSE,Patrol L
Patrol L,7/3/27,13:00,7/3/27,17:00,FALSE,Patrol L
Patrol L,18/4/27,08:45,18/4/27,12:30,FALSE,Patrol L
Patrol M,1/11/26,08:45,1/11/26,13:00,FALSE,Patrol M
Patrol M,29/11/26,08:45,29/11/26,13:00,FALSE,Patrol M
Patrol M,26/1/27,08:45,26/1/27,13:30,FALSE,Patrol M
Patrol M,14/3/27,13:00,14/3/27,17:00,FALSE,Patrol M
Patrol M,24/4/27,08:45,24/4/27,12:30,FALSE,Patrol M
Patrol N,7/11/26,08:45,7/11/26,13:00,FALSE,Patrol N
Patrol N,20/12/26,13:30,20/12/26,18:00,FALSE,Patrol N
Patrol N,30/1/27,08:45,30/1/27,13:30,FALSE,Patrol N
Patrol N,20/3/27,13:00,20/3/27,17:00,FALSE,Patrol N
Patrol N,25/4/27,08:45,25/4/27,12:30,FALSE,Patrol N
Christmas Day Patrol Shift 1,25/12/26,09:00,25/12/26,11:00,FALSE,Christmas Day Patrol Shift 1
Christmas Day Patrol Shift 2,25/12/26,11:00,25/12/26,13:00,FALSE,Christmas Day Patrol Shift 2
Christmas Day Patrol Shift 3,25/12/26,13:00,25/12/26,15:00,FALSE,Christmas Day Patrol Shift 3
Christmas Day Patrol Shift 4,25/12/26,15:00,25/12/26,17:00,FALSE,Christmas Day Patrol Shift 4
Pink Patrol AM,13/3/27,08:45,13/3/27,13:00,FALSE,Pink Patrol AM
Pink Patrol PM,13/3/27,13:00,13/3/27,17:00,FALSE,Pink Patrol PM
